race,num_examples,TPR,FPR,threshold
Native American,10,0.0,0.0,0.96
Other,141,0.0,0.0,0.97
Caucasian,924,0.0,0.0,0.97
African-American,1537,0.0,0.0,0.97
Hispanic,210,0.0,0.0,0.97
Asian,15,0.0,0.0,0.97
Native American,10,0.0,0.0,0.97
Other,141,0.0,0.0,0.98
Caucasian,924,0.0,0.0,0.98
African-American,1537,0.0,0.0,0.98
Hispanic,210,0.0,0.0,0.98
Asian,15,0.0,0.0,0.98
Native American,10,0.0,0.0,0.98
Other,141,0.0,0.0,0.99
Caucasian,924,0.0,0.0,0.99
African-American,1537,0.0,0.0,0.99
Hispanic,210,0.0,0.0,0.99
Asian,15,0.0,0.0,0.99
Native American,10,0.0,0.0,0.99
Other,141,0.0,0.0,1.0
Caucasian,924,0.0,0.0,1.0
African-American,1537,0.0,0.0,1.0
Hispanic,210,0.0,0.0,1.0
Asian,15,0.0,0.0,1.0
Native American,10,0.0,0.0,1.0
