<<<<<<< HEAD
race,FPR,TPR,threshold,auc,n
Caucasian,0.3393213572854291,0.5319148936170213,0.47169430542708274,0.6585693860505938,924
Caucasian,0.3393213572854291,0.5390070921985816,0.4715370107691377,0.6585693860505938,924
Caucasian,0.3473053892215569,0.5390070921985816,0.47132782100425336,0.6585693860505938,924
Caucasian,0.3473053892215569,0.5437352245862884,0.47121642851977025,0.6585693860505938,924
Caucasian,0.35129740518962077,0.5437352245862884,0.4711076903881579,0.6585693860505938,924
Caucasian,0.35129740518962077,0.5508274231678487,0.47099787066682913,0.6585693860505938,924
Caucasian,0.35528942115768464,0.5508274231678487,0.470989419285362,0.6585693860505938,924
Caucasian,0.3592814371257485,0.5508274231678487,0.4709826229849567,0.6585693860505938,924
Caucasian,0.3592814371257485,0.5531914893617021,0.4707814689705846,0.6585693860505938,924
Caucasian,0.36127744510978044,0.5531914893617021,0.47076791626353526,0.6585693860505938,924
Caucasian,0.36127744510978044,0.5555555555555556,0.47066545892561606,0.6585693860505938,924
Caucasian,0.36127744510978044,0.5602836879432624,0.47062485995334347,0.6585693860505938,924
Caucasian,0.36327345309381237,0.5602836879432624,0.4705628369510118,0.6585693860505938,924
Caucasian,0.36327345309381237,0.5650118203309693,0.47046585297963095,0.6585693860505938,924
Caucasian,0.36327345309381237,0.5721040189125296,0.4704139823263818,0.6585693860505938,924
Caucasian,0.36726546906187624,0.5721040189125296,0.47033767244982366,0.6585693860505938,924
Caucasian,0.36726546906187624,0.574468085106383,0.47022528641794836,0.6585693860505938,924
Caucasian,0.37325349301397204,0.574468085106383,0.4700891953141102,0.6585693860505938,924
Caucasian,0.37325349301397204,0.5768321513002365,0.47007452985072484,0.6585693860505938,924
Caucasian,0.37524950099800397,0.5768321513002365,0.4700715715254278,0.6585693860505938,924
Caucasian,0.37524950099800397,0.5839243498817966,0.4699663952692978,0.6585693860505938,924
Caucasian,0.3772455089820359,0.5839243498817966,0.4699402611077437,0.6585693860505938,924
Caucasian,0.3772455089820359,0.5886524822695035,0.46981857249332915,0.6585693860505938,924
Caucasian,0.37924151696606784,0.5886524822695035,0.4697768496524472,0.6585693860505938,924
Caucasian,0.37924151696606784,0.5910165484633569,0.4696271346996051,0.6585693860505938,924
Caucasian,0.37924151696606784,0.5957446808510638,0.46955377978253404,0.6585693860505938,924
Caucasian,0.37924151696606784,0.5981087470449172,0.4694456874772983,0.6585693860505938,924
Caucasian,0.3852295409181637,0.5981087470449172,0.4693733063663105,0.6585693860505938,924
Caucasian,0.3852295409181637,0.6004728132387707,0.46928366511374725,0.6585693860505938,924
Caucasian,0.38922155688622756,0.6004728132387707,0.46919767315424094,0.6585693860505938,924
Caucasian,0.38922155688622756,0.6028368794326241,0.4691417407429344,0.6585693860505938,924
Caucasian,0.38922155688622756,0.607565011820331,0.46910735150775984,0.6585693860505938,924
Caucasian,0.38922155688622756,0.6099290780141844,0.469100989319177,0.6585693860505938,924
Caucasian,0.3912175648702595,0.6099290780141844,0.4690056513201348,0.6585693860505938,924
Caucasian,0.3912175648702595,0.6122931442080378,0.4689910159096503,0.6585693860505938,924
Caucasian,0.3972055888223553,0.6122931442080378,0.46878795927492617,0.6585693860505938,924
Caucasian,0.3972055888223553,0.6170212765957447,0.4685841504970964,0.6585693860505938,924
Caucasian,0.3992015968063872,0.6170212765957447,0.46846482002764994,0.6585693860505938,924
Caucasian,0.4031936127744511,0.6170212765957447,0.46845393194538726,0.6585693860505938,924
Caucasian,0.4031936127744511,0.6217494089834515,0.46843171008407514,0.6585693860505938,924
Caucasian,0.4031936127744511,0.6264775413711584,0.46828767667402676,0.6585693860505938,924
Caucasian,0.4031936127744511,0.6288416075650118,0.4682529613194666,0.6585693860505938,924
Caucasian,0.4111776447105788,0.6288416075650118,0.46804102077755566,0.6585693860505938,924
Caucasian,0.4111776447105788,0.6335697399527187,0.46800539458599166,0.6585693860505938,924
Caucasian,0.41916167664670656,0.6335697399527187,0.46781257335329296,0.6585693860505938,924
Caucasian,0.41916167664670656,0.6382978723404256,0.4677889646338678,0.6585693860505938,924
Caucasian,0.42115768463073855,0.6382978723404256,0.4677859936028492,0.6585693860505938,924
