race,num_examples,TPR,FPR,threshold
African-American,174,0.06557377049180328,0.008849557522123894,0.73
Hispanic,1186,0.06321839080459771,0.0286144578313253,0.73
Asian,1873,0.2099236641221374,0.08121212121212121,0.73
Native American,262,0.054945054945054944,0.005847953216374269,0.73
Other,2886,0.15363698164513936,0.05088339222614841,0.74
Caucasian,629,0.06177606177606178,0.008108108108108109,0.74
African-American,174,0.06557377049180328,0.008849557522123894,0.74
Hispanic,1186,0.05938697318007663,0.022590361445783132,0.74
Asian,1873,0.19274809160305342,0.0703030303030303,0.74
Native American,262,0.04395604395604396,0.005847953216374269,0.74
Other,2886,0.1380013596193066,0.046643109540636045,0.75
Caucasian,629,0.03474903474903475,0.008108108108108109,0.75
African-American,174,0.06557377049180328,0.008849557522123894,0.75
Hispanic,1186,0.05747126436781609,0.022590361445783132,0.75
Asian,1873,0.16793893129770993,0.06303030303030303,0.75
Native American,262,0.01098901098901099,0.005847953216374269,0.75
Other,2886,0.12236573759347383,0.04240282685512368,0.76
Caucasian,629,0.02702702702702703,0.008108108108108109,0.76
African-American,174,0.06557377049180328,0.008849557522123894,0.76
Hispanic,1186,0.040229885057471264,0.016566265060240965,0.76
Asian,1873,0.15267175572519084,0.06060606060606061,0.76
Native American,262,0.01098901098901099,0.005847953216374269,0.76
Other,2886,0.11488783140720599,0.03745583038869258,0.77
Caucasian,629,0.02702702702702703,0.008108108108108109,0.77
African-American,174,0.06557377049180328,0.008849557522123894,0.77
Hispanic,1186,0.03639846743295019,0.016566265060240965,0.77
Asian,1873,0.14408396946564886,0.052121212121212124,0.77
Native American,262,0.01098901098901099,0.005847953216374269,0.77
Other,2886,0.10605030591434399,0.03674911660777385,0.78
Caucasian,629,0.02702702702702703,0.008108108108108109,0.78
African-American,174,0.06557377049180328,0.0,0.78
Hispanic,1186,0.032567049808429116,0.016566265060240965,0.78
Asian,1873,0.13358778625954199,0.052121212121212124,0.78
Native American,262,0.01098901098901099,0.005847953216374269,0.78
Other,2886,0.09449354180829368,0.03250883392226148,0.79
Caucasian,629,0.02702702702702703,0.005405405405405406,0.79
African-American,174,0.04918032786885246,0.0,0.79
Hispanic,1186,0.02681992337164751,0.015060240963855422,0.79
Asian,1873,0.12118320610687022,0.044848484848484846,0.79
Native American,262,0.01098901098901099,0.005847953216374269,0.79
Other,2886,0.08565601631543168,0.028268551236749116,0.8
Caucasian,629,0.02702702702702703,0.002702702702702703,0.8
African-American,174,0.04918032786885246,0.0,0.8
Hispanic,1186,0.022988505747126436,0.01355421686746988,0.8
Asian,1873,0.11068702290076336,0.037575757575757575,0.8
Native American,262,0.01098901098901099,0.005847953216374269,0.8
Other,2886,0.07817811012916383,0.024734982332155476,0.81
Caucasian,629,0.023166023166023165,0.002702702702702703,0.81
African-American,174,0.04918032786885246,0.0,0.81
